Четверг 25 сен.2025г.  17:59,,,,,,,,
,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,
Армения,,,,,,,,
,,Конечный пункт маршрута,,,,,,
,,Айрум (эксп.),Ахурян (эксп.),Гюмри,Ерасх (эксп.),Ереван,Иджеван,Масис
№ п/п,Начальный пункт маршрута,1,2,3,4,5,6,7
1,Айрум (эксп.),0,162,145,342,299,464,285
2,Ахурян (эксп.),162,0,17,214,171,336,157
3,Гюмри,145,17,0,197,154,319,140
4,Ерасх (эксп.),342,214,197,0,71,236,57
5,Ереван,299,171,154,71,0,193,14
6,Иджеван,464,336,319,236,193,0,179
7,Масис,285,157,140,57,14,179,0
