Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,,,,,,,,,,,
Молдова,,,,,,,,,,,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,,,,,,,,,,,
,,Басарабяска (эксп.),Бендер I,Блокпост 61 км (эксп.),Бэлць-Слобозия,Вэлчинец (эксп.),Джурджулешть,Етулия (эксп.),Кишинэу,Колбасна (эксп.),Кэинарь,Ливада (эксп.),Ливада,Медвежа (эксп.),Новосавицкая (эксп.),Окница (эксп.),Окница,Прут II (эксп.),Унгень (эксп. БДЖ),Унгень
№ п/п,Начальный пункт маршрута,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,Басарабяска (эксп.),0,112,498,364,493,129,127,172,520,54,165,160,466,155,466,455,110,281,279
2,Бендер I,112,0,386,252,381,241,239,60,408,58,53,48,354,43,354,343,222,169,167
3,Блокпост 61 км (эксп.),498,386,0,134,81,627,625,326,290,381,439,434,32,429,54,43,608,221,219
4,Бэлць-Слобозия,364,252,134,0,129,493,491,192,156,247,305,300,102,295,102,91,474,87,85
5,Вэлчинец (эксп.),493,381,81,129,0,622,620,321,285,376,434,429,49,424,49,38,603,216,214
6,Джурджулешть,129,241,627,493,622,0,2,301,649,183,294,289,595,284,595,584,239,410,408
7,Етулия (эксп.),127,239,625,491,620,2,0,299,647,181,292,287,593,282,593,582,237,408,406
8,Кишинэу,172,60,326,192,321,301,299,0,348,55,113,108,294,103,294,283,282,109,107
9,Колбасна (эксп.),520,408,290,156,285,649,647,348,0,403,461,456,258,451,258,247,630,243,241
10,Кэинарь,54,58,381,247,376,183,181,55,403,0,106,111,349,101,349,338,164,164,162
11,Ливада (эксп.),165,53,439,305,434,294,292,113,461,106,0,5,407,10,407,396,275,222,220
12,Ливада,160,48,434,300,429,289,287,108,456,111,5,0,402,5,402,391,270,217,215
13,Медвежа (эксп.),466,354,32,102,49,595,593,294,258,349,407,402,0,397,,11,576,189,187
14,Новосавицкая (эксп.),155,43,429,295,424,284,282,103,451,101,10,5,397,0,397,386,265,212,210
15,Окница (эксп.),466,354,54,102,49,595,593,294,258,349,407,402,,397,0,11,576,189,187
16,Окница,455,343,43,91,38,584,582,283,247,338,396,391,11,386,11,0,565,178,176
17,Прут II (эксп.),110,222,608,474,603,239,237,282,630,164,275,270,576,265,576,565,0,391,389
18,Унгень (эксп. БДЖ),281,169,221,87,216,410,408,109,243,164,222,217,189,212,189,178,391,0,2
19,Унгень,279,167,219,85,214,408,406,107,241,162,220,215,187,210,187,176,389,2,0
